param1,param2,avg_mos
51.000000,23.000000,0.140104
50.000000,42.000000,0.137189
35.000000,19.000000,0.371929
36.000000,30.000000,0.235945
21.000000,44.000000,0.219728
18.000000,47.000000,0.448131
57.000000,15.000000,0.523698
60.000000,43.000000,0.231409
43.000000,15.000000,0.489422
16.000000,39.000000,0.214161
59.000000,50.000000,0.196497
60.000000,16.000000,0.217863
17.000000,47.000000,0.080961
15.000000,60.000000,0.154807
16.000000,15.000000,0.288712
19.000000,16.000000,0.260526
60.000000,15.000000,0.101754
15.000000,27.000000,0.161772
60.000000,55.000000,0.492550
57.000000,16.000000,0.493825
60.000000,56.000000,0.341925
60.000000,54.000000,0.319453
43.000000,16.000000,0.185418
55.000000,23.000000,0.497729
25.000000,47.000000,0.126224
26.000000,20.000000,0.449204
55.000000,22.000000,0.185615
50.000000,42.000000,0.137189
44.000000,41.000000,0.544509
48.000000,35.000000,0.106372
48.000000,19.000000,0.152930
60.000000,25.000000,0.460404
54.000000,24.000000,0.476947
55.000000,31.000000,0.138084
52.000000,58.000000,0.187572
54.000000,48.000000,0.626432
25.000000,58.000000,0.384841
46.000000,23.000000,0.290426
24.000000,43.000000,0.453114
39.000000,30.000000,0.549599
